v,w,t
0,26,156580
0,26,156600
0,26,156620
0,26,156640
0,6,156640
0,26,156660
0,6,156660
0,26,156680
0,28,156700
0,26,156700
0,26,156720
0,28,156740
0,26,156740
0,28,156760
0,26,156780
0,26,156800
0,26,156820
0,6,156840
0,6,156860
0,26,156920
0,26,156940
0,6,156940
0,68,158100
0,10,158100
0,68,158120
0,32,158540
0,36,158580
0,28,158580
0,36,158600
0,28,158600
0,28,158620
0,36,158640
0,28,158640
0,36,158660
0,28,158660
0,16,158700
0,68,158700
0,36,158900
0,16,158920
0,14,159080
0,14,159100
0,14,159300
0,14,159320
0,14,159340
0,14,159480
0,14,159920
0,14,159940
0,14,161600
0,14,161720
0,14,161740
0,14,161820
0,14,162260
0,14,162600
0,16,162640
0,68,162660
0,32,162840
0,16,162860
0,32,162860
0,16,162880
0,32,162880
0,16,162900
0,32,162900
0,16,162920
0,16,162940
0,16,162960
0,32,162960
0,16,162980
0,32,162980
0,22,163140
0,36,164220
0,46,164580
0,46,164600
0,22,164620
0,26,164840
0,6,165300
0,28,165320
0,28,165340
0,6,165340
0,16,165360
0,28,165360
0,6,165360
0,28,165380
0,6,165380
0,28,165400
0,26,165400
0,6,165400
0,15,165420
0,36,165420
0,36,165440
0,28,165920
0,28,165940
0,28,165960
0,26,165960
0,6,165960
0,28,166000
0,26,166000
0,28,166020
0,28,166040
0,26,166040
0,28,166060
0,26,166060
0,22,166080
0,28,166080
0,10,166080
0,6,166080
0,28,166100
0,26,166100
0,16,166200
0,16,166220
0,16,166240
0,16,166260
0,16,166280
0,68,166280
0,28,166280
0,26,166360
0,19,166360
0,22,166380
0,26,166420
0,22,166440
0,16,166440
0,22,166460
0,22,166480
0,32,166480
0,22,166500
0,16,166500
0,16,166520
0,22,166540
0,16,166540
0,34,166640
0,16,166860
0,48,166880
0,6,166880
0,48,166900
0,32,167420
0,32,167440
0,48,167460
0,32,167460
0,48,167480
0,32,167480
0,22,167540
0,22,167560
0,32,167560
0,22,167660
0,28,167680
0,16,167980
0,3,167980
0,28,167980
0,26,167980
0,26,168000
0,6,168000
0,22,168020
0,32,168020
0,46,168020
0,48,168040
0,22,168040
0,32,168040
0,16,168360
0,68,168360
0,16,168380
0,28,168380
0,36,168420
0,36,168440
0,1,168500
0,10,168580
0,10,168600
0,54,168600
0,10,168620
0,10,168640
0,10,168660
0,10,168680
0,10,168740
0,10,168760
0,16,168820
0,10,168820
0,16,168840
0,16,168860
0,10,168860
0,16,168940
0,16,168960
0,16,168980
0,16,170200
0,16,170220
0,16,170480
0,16,170500
0,16,170540
0,16,170560
0,16,170580
0,16,170600
0,68,170740
0,39,170760
0,48,170800
0,48,170820
0,39,170820
0,39,170840
0,16,171620
0,28,171620
0,28,171660
0,10,171660
0,6,171660
0,28,171680
0,10,171680
0,68,172580
0,26,172840
0,55,172900
0,41,172920
0,41,173120
0,25,175900
0,25,175920
0,25,175940
0,25,175960
0,25,175980
0,14,176060
0,4,176300
0,28,176300
0,26,176300
0,6,176300
0,4,176320
0,28,176320
0,26,176320
0,28,176340
0,18,176340
0,6,176340
0,28,176360
0,18,176360
0,6,176360
0,4,176380
0,36,176380
0,28,176380
0,26,176380
0,6,176380
0,4,176400
0,68,176400
0,28,176400
0,26,176400
0,6,176400
0,28,176440
0,28,176740
0,25,176760
0,22,176760
0,22,176780
0,26,176840
0,26,176860
0,22,176960
0,26,176960
0,26,176980
0,16,177780
0,16,178140
0,16,178160
0,18,178180
0,15,178200
0,41,178300
0,36,178540
0,25,178580
0,4,178580
0,22,178840
0,22,178900
0,16,178900
0,22,178920
0,16,178940
0,10,179280
0,15,179300
0,71,179640
0,71,179660
0,71,179680
0,71,179700
0,71,179720
0,71,179740
0,71,179760
0,71,179780
0,71,179800
0,71,179840
0,71,179880
0,71,179900
0,71,179960
0,71,179980
0,16,180020
0,16,180040
0,16,180140
0,22,180180
0,16,180180
0,22,180200
0,16,180200
0,16,180620
0,22,180640
0,16,180640
0,22,180660
0,16,180660
0,16,180700
0,22,180800
0,22,180820
0,22,180840
0,34,180860
0,16,181540
0,16,181580
0,22,243980
0,28,243980
0,22,244000
0,22,244020
0,22,244040
0,22,244080
0,22,244100
0,28,244100
0,22,244120
0,28,244120
0,28,244140
0,28,244160
0,22,244180
0,28,244180
0,22,244200
0,14,244240
0,25,244280
0,14,244280
0,25,244320
0,25,244340
0,14,244340
0,25,244360
0,14,244360
0,14,244380
0,14,244400
0,22,244420
0,22,244440
0,6,244460
0,19,244820
0,19,244840
0,19,244880
0,19,244900
0,19,244920
0,19,244940
0,19,244980
0,28,245000
0,28,245020
0,66,245040
0,28,245040
0,66,245060
0,36,245060
0,28,245060
0,36,245080
0,28,245080
0,66,245160
0,22,245180
0,22,245300
0,16,245580
0,14,247580
0,14,247600
0,29,247640
0,34,247640
0,27,247640
0,29,247840
0,8,247840
0,36,247920
0,36,247940
0,16,248660
0,66,249580
0,6,250860
0,16,250880
0,16,250900
0,16,250920
0,16,250940
0,16,250960
0,16,250980
0,16,251000
0,16,251020
0,22,251040
0,6,251040
0,53,251760
0,53,251780
0,71,251800
0,71,251820
0,71,251880
0,71,251900
0,71,251920
0,71,251940
0,10,251980
0,8,251980
0,10,252000
0,29,252020
0,10,252020
0,8,252020
0,10,252040
0,8,252040
0,53,252060
0,16,252060
0,10,252060
0,43,252080
0,3,252100
0,43,252100
0,3,252120
0,43,252120
0,43,252140
0,8,252180
0,73,252200
0,73,252220
0,8,252240
0,59,252360
0,22,252420
0,16,252440
0,16,252460
0,14,252460
0,29,252480
0,20,252480
0,20,252520
0,20,252540
0,20,252580
0,20,252620
0,6,252700
0,66,252720
0,36,252720
0,6,252720
0,27,252720
0,66,252900
0,6,252900
0,14,252920
0,22,252960
0,22,252980
0,57,253500
0,72,253660
0,72,253680
0,72,253700
0,72,253720
0,72,253740
0,72,253920
0,28,253940
0,68,254000
0,44,254020
0,44,254060
0,16,254120
0,50,254120
0,50,254140
0,50,254160
0,50,254180
0,50,254200
0,50,254220
0,58,254240
0,58,254260
0,58,254280
0,11,254380
0,66,254400
0,16,254400
0,36,254400
0,66,254420
0,16,254420
0,16,254460
0,36,254460
0,16,254480
0,66,254500
0,16,254500
0,16,254520
0,16,254540
0,68,256120
0,6,256140
0,11,256140
0,11,256160
0,16,256180
0,22,256320
0,22,256340
0,10,258180
0,22,258220
0,6,258220
0,10,258240
0,22,258480
0,6,258480
0,6,258500
0,6,258540
0,6,258560
0,6,258620
0,6,258640
0,6,258660
0,22,258700
0,6,258720
0,22,258740
0,22,258760
0,6,258800
0,6,258820
0,6,258840
0,22,258920
0,6,258960
0,6,258980
0,22,259000
0,25,259020
0,22,259020
0,6,259020
0,22,259060
0,22,259080
0,6,259100
0,22,259120
0,22,259140
0,22,259180
0,22,259200
0,22,259220
0,22,259240
0,22,259280
0,22,259300
0,6,259300
0,22,259320
0,6,259320
0,22,259340
0,6,259340
0,25,259360
0,16,259380
0,6,259600
0,22,259620
0,30,259620
0,20,259620
0,30,259640
0,20,259640
0,20,259660
0,20,259700
0,22,259720
0,30,259720
0,20,259720
0,22,259740
0,22,259760
0,30,259760
0,22,259780
0,30,259780
0,22,259800
0,30,259800
0,22,259820
0,30,259820
0,66,259820
0,36,259820
0,22,259840
0,30,259880
0,30,259900
0,30,259920
0,36,259920
0,19,259920
0,6,259920
0,66,259940
0,19,259940
0,14,260280
0,30,260960
0,29,261080
0,14,261080
0,22,261320
0,25,261360
0,6,261360
0,20,261360
0,25,261380
0,20,261380
0,20,261400
0,20,261440
0,36,261500
0,36,262320
0,66,262760
0,6,262760
0,20,262760
0,66,262780
0,6,262780
0,20,262780
0,6,262800
0,14,262820
0,66,262840
0,24,262840
0,10,262840
0,22,262860
0,66,262860
0,10,262860
0,24,262880
0,16,262880
0,10,262880
0,29,262900
0,6,262900
0,6,262920
0,22,262940
0,66,262940
0,10,262940
0,35,262940
0,22,262960
0,66,262960
0,16,262960
0,16,262980
0,16,263000
0,16,263020
0,16,263040
0,16,263060
0,36,264120
0,10,264160
0,25,264180
0,16,264500
0,16,264520
0,16,264640
0,16,265640
0,10,266840
0,10,266860
0,10,267080
0,14,267080
0,16,267140
0,30,267620
0,30,267860
0,29,268320
0,29,268360
0,29,268380
0,15,268380
0,16,268540
0,16,268560
0,16,270840
0,64,270840
0,10,275280
0,10,275300
0,10,275320
0,10,275340
0,10,275360
0,62,329580
0,28,329720
0,20,329720
0,4,329740
0,4,329760
0,4,329780
0,19,329860
0,67,329960
0,67,329980
0,19,330480
0,19,330600
0,70,330600
0,70,330620
0,70,330640
0,70,330920
0,70,330980
0,70,331100
0,70,331220
0,70,331240
0,70,331280
0,70,331300
0,70,331360
0,70,331380
0,70,331400
0,70,331420
0,70,331460
0,70,331480
0,70,331500
0,70,331520
0,70,331540
0,70,331560
0,70,331580
0,70,331600
0,70,331620
0,70,331660
0,70,331680
0,70,331700
0,70,331720
0,70,331740
0,70,331760
0,70,331780
0,70,331800
0,70,331820
0,5,331840
0,70,331860
0,19,332200
0,70,332200
0,19,332220
0,70,332220
0,70,332240
0,70,332260
0,70,332280
0,70,332300
0,70,332380
0,70,332400
0,70,332500
0,70,332540
0,70,332560
0,70,332600
0,70,332620
0,70,332640
0,70,332660
0,70,332680
0,70,332700
0,70,332720
0,70,332740
0,70,332760
0,70,332780
0,70,332800
0,70,332820
0,70,332840
0,70,332860
0,70,332880
0,70,332900
0,70,332920
0,70,332940
0,70,332960
0,70,333320
0,70,333340
0,70,333560
0,70,333600
0,70,333620
0,70,333640
0,70,333660
0,70,333740
0,70,333760
0,70,334100
0,70,334120
0,70,334140
0,70,334180
0,70,334200
0,70,334380
0,70,334400
0,70,334560
0,70,334620
0,70,334660
0,70,334820
0,70,334840
0,70,334860
0,70,334880
0,70,334900
0,70,334920
0,70,335020
0,70,335800
0,70,335820
0,70,335860
0,70,335880
0,70,335920
0,70,335940
0,70,335980
0,70,336000
0,70,336020
0,70,336040
0,68,336060
0,4,336080
0,68,336080
0,70,336100
0,70,336120
0,10,336160
0,19,336160
0,10,336180
0,70,336180
0,10,336200
0,70,336200
0,70,336220
0,6,336220
0,70,336340
0,70,336820
0,70,336840
0,70,336880
0,70,336900
0,70,336920
0,70,336940
0,70,337120
0,70,337140
0,70,337640
0,70,337940
0,70,337960
0,70,338100
0,19,338140
0,19,338160
0,14,338160
0,70,338180
0,20,338200
0,70,338260
0,14,338280
0,70,338500
0,19,338700
0,70,338700
0,70,338720
0,70,338740
0,70,338760
0,19,338780
0,70,338780
0,53,339020
0,70,339020
0,53,339040
0,53,339060
0,70,339060
0,19,339080
0,70,339080
0,53,339100
0,70,339100
0,70,339120
0,70,339140
0,53,339160
0,70,339160
0,53,339180
0,70,339180
0,53,339200
0,19,339200
0,70,339200
0,53,339220
0,70,339220
0,53,339240
0,70,339240
0,53,339260
0,70,339260
0,70,339280
0,53,339300
0,70,339400
0,70,339420
0,70,339460
0,70,339860
0,19,339880
0,70,339880
0,19,339900
0,70,339900
0,19,340080
0,19,340180
0,70,340520
0,70,340540
0,70,340560
0,70,340580
0,70,340600
0,70,340620
0,70,340640
0,70,340660
0,70,340680
0,70,340700
0,70,340720
0,70,340740
0,70,340760
0,70,340800
0,70,340840
0,70,340860
0,70,340880
0,70,340900
0,70,340980
0,70,341000
0,70,341020
0,70,341040
0,70,341120
0,70,341180
0,70,341200
0,70,341220
0,70,341240
0,70,341260
0,70,341280
0,70,341300
0,70,341360
0,70,341380
0,70,341400
0,70,341420
0,70,341480
0,70,341500
0,70,341520
0,70,341540
0,70,341560
0,70,341580
0,70,341600
0,70,341620
0,70,341640
0,70,341660
0,70,341680
0,70,341700
0,70,341720
0,70,341740
0,70,341760
0,70,341780
0,70,341820
0,70,341840
0,70,342660
0,70,342700
0,70,342720
0,70,342740
0,70,342780
0,70,342800
0,70,342820
0,70,342860
0,70,342880
0,70,342960
0,70,343040
0,70,343060
0,70,343080
0,70,343100
0,70,343140
0,70,343160
0,70,343240
0,70,343280
0,70,343440
0,70,343480
0,70,343540
0,14,343560
0,36,343980
0,36,344000
0,67,344020
0,12,344780
0,69,344840
0,34,345060
0,11,345060
0,69,345100
0,69,345220
0,69,345260
0,11,345260
0,69,345280
0,12,345300
0,11,345300
0,69,345320
0,14,345320
0,69,345340
0,69,345380
0,14,345460
0,67,345560
0,67,345600
0,67,345620
0,67,345640
0,67,345660
0,12,345680
0,67,345740
0,67,345760
0,67,345780
0,46,345800
0,50,345800
0,46,345820
0,46,345840
0,67,345840
0,30,346040
0,30,346100
0,25,346180
0,4,346180
0,6,346180
0,4,346200
0,6,346200
0,30,346280
0,67,346280
0,6,346340
0,6,346360
0,6,346380
0,6,346400
0,6,346420
0,6,346440
0,6,346460
0,6,346480
0,6,346500
0,36,346520
0,6,346520
0,36,346540
0,6,346540
0,6,346560
0,6,346580
0,6,346600
0,6,346620
0,6,346640
0,6,346660
0,6,346680
0,6,346700
0,6,346720
0,6,346740
0,6,346760
0,6,346820
0,6,346860
0,6,346900
0,4,347120
0,9,347120
0,6,347120
0,4,347400
0,4,347440
1,3,73200
1,3,75160
1,3,75180
1,3,75580
1,28,76060
1,3,76100
1,15,76440
1,15,76460
1,28,76500
1,3,76600
1,3,76620
1,3,76640
1,3,76680
1,28,76680
1,3,76720
1,3,77020
1,43,77120
1,3,77120
1,3,77280
1,3,77360
1,3,77500
1,3,77540
1,51,77800
1,51,77820
1,51,77840
1,51,77860
1,3,77900
1,3,77920
1,3,77960
1,3,78180
1,3,78200
1,41,78240
1,3,78260
1,41,78260
1,16,78320
1,4,78340
1,26,78460
1,3,78520
1,41,78520
1,5,78620
1,3,78780
1,3,79140
1,3,79160
1,3,79820
1,3,80000
1,3,80020
1,55,80120
1,3,80120
1,3,80160
1,55,80180
1,55,80360
1,55,80380
1,3,80520
1,53,80560
1,53,80580
1,53,80700
1,53,80720
1,53,80820
1,53,80840
1,3,80920
1,53,80920
1,3,80940
1,21,81420
1,21,81440
1,21,81460
1,21,81480
1,47,81500
1,4,81740
1,3,81780
1,3,158700
1,3,158720
1,14,158720
1,14,158840
1,10,158860
1,68,162660
1,3,162680
1,3,162980
1,3,163080
1,3,163120
1,3,163140
1,3,163420
1,3,163440
1,26,163540
1,28,163540
1,68,163560
1,3,163600
1,3,163680
1,3,163700
1,14,164140
1,3,164160
1,22,164180
1,44,164320
1,44,164380
1,44,164620
1,3,164680
1,68,164700
1,68,164720
1,3,164740
1,68,164740
1,51,164780
1,68,164780
1,51,164920
1,3,164940
1,51,164940
1,3,164960
1,51,164960
1,3,164980
1,51,164980
1,3,165000
1,51,165000
1,3,165020
1,51,165020
1,3,165040
1,51,165040
1,51,165060
1,51,165080
1,3,165100
1,51,165100
1,51,165120
1,51,165140
1,51,165160
1,51,165180
1,3,165340
1,3,165380
1,51,165380
1,3,165400
1,3,165420
1,3,165440
1,51,165460
1,3,165500
1,3,165520
1,3,165620
1,36,165700
1,3,165720
1,72,165820
1,3,165820
1,72,165840
1,3,165840
1,6,165860
1,28,165860
1,28,165880
1,72,165900
1,3,165900
1,72,165920
1,72,165940
1,3,165940
1,72,165960
1,72,165980
1,3,165980
1,72,166000
1,3,166000
1,72,166020
1,3,166060
1,3,166080
1,36,166120
1,72,166140
1,72,166160
1,3,166160
1,3,166180
1,6,166240
1,28,166260
1,28,166280
1,26,166300
1,26,166320
1,16,166320
1,26,166420
1,3,166860
1,22,166880
1,3,166880
1,22,166900
1,3,166900
1,22,166920
1,22,166960
1,22,167000
1,22,167060
1,22,167080
1,22,167100
1,22,167120
1,22,167140
1,14,167160
1,3,167200
1,3,167220
1,32,167220
1,16,167260
1,32,167280
1,3,167340
1,3,167540
1,3,167640
1,3,167660
1,3,167680
1,15,167680
1,3,167700
1,15,167700
1,3,167720
1,15,167720
1,15,167740
1,3,167760
1,15,167760
1,3,167780
1,3,167800
1,3,167840
1,26,168140
1,3,168180
1,3,168200
1,3,168220
1,3,168240
1,3,168260
1,3,168320
1,3,168340
1,3,168360
1,3,168380
1,22,168660
1,14,168660
1,22,168680
1,53,168700
1,15,168760
1,15,168780
1,3,168800
1,15,168800
1,3,168820
1,55,168840
1,55,168860
1,3,168860
1,55,168880
1,3,168880
1,55,168900
1,3,168900
1,3,168920
1,55,168940
1,3,168940
1,55,168960
1,3,168960
1,55,168980
1,3,168980
1,46,168980
1,55,169000
1,3,169000
1,3,169020
1,3,169040
1,55,169060
1,3,169060
1,3,169080
1,10,169080
1,55,169100
1,55,169120
1,55,169160
1,3,169160
1,52,169220
1,3,169400
1,3,169420
1,22,169460
1,3,169460
1,3,169480
1,3,169500
1,3,169520
1,3,169540
1,3,169560
1,3,245700
1,3,247580
1,16,247760
1,16,247780
1,14,247800
1,16,247800
1,14,247820
1,68,248140
1,36,248180
1,36,248200
1,36,248220
1,36,248240
1,66,248580
1,66,248600
1,10,248660
1,3,249600
1,3,249640
1,3,249660
1,10,249700
1,10,249720
1,3,249760
1,3,249780
1,25,249780
1,16,249800
1,3,249980
1,3,250000
1,3,250020
1,68,250280
1,68,250300
1,68,250320
2,36,2260
2,36,2340
2,36,2580
2,36,2620
2,36,2720
2,5,2900
2,36,3200
2,4,4020
2,36,4020
2,36,4160
2,36,4180
2,16,4320
2,18,4340
2,30,4360
2,30,4380
2,30,4400
2,16,4400
2,36,4420
2,16,4420
2,30,4460
2,36,4460
2,4,4480
2,30,4480
2,22,4480
2,36,4480
2,4,4500
2,30,4500
2,22,4500
2,22,4520
2,36,4520
2,7,4520
2,4,4540
2,22,4540
2,36,4540
2,4,4560
2,22,4560
2,36,4560
2,7,4560
2,4,4580
2,30,4600
2,4,4640
2,5,4900
2,5,5440
2,22,5440
2,36,5460
2,7,5460
2,22,5500
2,36,5520
2,9,5560
2,36,5580
2,7,5600
2,16,5640
2,7,5640
2,36,5660
2,26,89540
2,26,89560
2,5,89640
2,36,89640
2,5,89660
2,12,89740
2,25,89800
2,5,90040
2,5,90060
2,28,90160
2,26,90200
2,26,90260
2,26,90280
2,23,90720
2,23,90760
2,23,90900
2,23,90920
2,23,90960
2,23,90980
2,23,91000
2,23,91020
2,23,91080
2,23,91140
2,23,91320
2,5,91420
2,4,91480
2,26,91480
2,32,91560
2,32,91580
2,16,91780
2,16,91800
2,5,91820
2,16,91820
2,16,91840
2,25,92580
2,28,92620
2,25,92760
2,25,93220
2,32,93840
2,32,93900
2,32,93920
2,15,94100
2,15,94120
2,15,94140
2,15,94160
2,25,94160
2,15,94180
2,25,94180
2,15,94200
2,25,94200
2,25,94220
2,25,94300
2,25,94360
2,25,94440
2,25,94940
2,10,95280
2,50,95580
2,50,95600
2,50,95620
2,50,95640
2,54,96040
2,54,96060
2,54,96080
2,54,96100
2,54,96120
2,54,96140
2,12,96660
2,12,96680
2,10,96680
2,10,96700
2,12,96720
2,28,96720
2,28,96740
2,39,96840
2,39,96860
2,39,96880
2,39,96920
2,39,97080
2,24,97220
2,15,97260
2,15,97280
2,32,97280
2,28,97280
2,51,97760
2,51,97780
2,51,98120
2,51,98140
2,51,98180
2,51,98220
2,51,98240
2,29,98320
2,12,98560
2,32,98560
2,28,98560
2,12,98580
2,12,98600
2,32,98600
2,28,98600
2,12,98620
2,23,98700
2,24,98720
2,12,98720
2,38,98720
2,24,98740
2,12,98740
2,24,98760
2,12,98760
2,38,98760
2,24,98780
2,12,98780
2,24,98800
2,23,98800
2,12,98800
2,24,98820
2,12,98820
2,28,98860
2,12,99160
2,18,99160
2,28,99300
2,28,99840
2,38,100220
2,38,100360
2,38,100400
2,38,100420
2,38,100440
2,38,100460
2,38,100480
2,38,100500
2,38,100520
2,38,100540
2,25,100960
2,32,101400
2,21,101620
2,21,101640
2,21,101660
2,10,101700
2,32,101780
2,32,101940
2,32,101980
2,32,102000
2,32,102200
2,10,102200
2,24,102500
2,23,102500
2,21,103300
2,21,103320
2,21,103340
2,21,103360
2,25,103400
2,23,103580
2,25,104180
2,25,104300
2,25,104480
2,25,104560
2,50,105040
2,50,105060
2,50,105080
2,38,105300
2,38,105420
2,38,105440
2,12,105560
2,12,105580
2,50,105600
2,12,105600
2,38,105600
2,24,105660
2,25,105780
2,23,105840
2,51,105840
2,23,105860
2,51,105860
2,23,106000
2,23,106020
2,24,106060
2,15,106820
2,54,107220
2,54,107240
