,v,w,t
20748,16,222,1385983160
20749,16,222,1385983180
20750,16,222,1385983200
20751,16,222,1385983220
20752,16,222,1385983240
20753,16,222,1385983280
20754,16,120,1385983280
20755,16,222,1385983300
20756,16,222,1385983320
20757,16,222,1385983340
20758,16,222,1385983360
20759,16,222,1385983420
20760,16,222,1385983440
20761,16,30,1385983440
20762,16,222,1385983460
20763,16,222,1385983480
20764,16,30,1385983500
20765,16,30,1385983520
20766,16,30,1385983660
20767,16,222,1385983680
20768,16,30,1385983680
20769,16,222,1385983700
20770,16,222,1385983720
20771,16,222,1385983740
20772,16,222,1385983760
20773,16,222,1385983780
20774,16,30,1385983780
20775,16,222,1385983800
20776,16,222,1385983820
20777,16,30,1385983820
20778,16,222,1385983840
20779,16,30,1385983840
20780,16,222,1385983860
20781,16,30,1385983860
20782,16,222,1385983880
20783,16,222,1385983900
20784,16,222,1385983940
20785,16,30,1385983940
20786,16,222,1385983960
20787,16,222,1385983980
20788,16,30,1385983980
20789,16,222,1385984000
20790,16,30,1385984000
20791,16,222,1385984020
20792,16,30,1385984020
20793,16,222,1385984040
20794,16,30,1385984040
20795,16,222,1385984060
20796,16,222,1385984080
20797,16,30,1385984080
20798,16,222,1385984100
20799,16,30,1385984100
20800,16,30,1385984140
20801,16,222,1385984160
20802,16,30,1385984160
20803,16,222,1385984180
20804,16,222,1385984200
20805,16,222,1385984220
20806,16,222,1385984240
20807,16,222,1385984260
20808,16,222,1385984280
20809,16,222,1385984300
20810,16,222,1385984340
20811,16,30,1385984340
20812,16,222,1385984360
20813,16,30,1385984380
20814,16,30,1385984400
21902,17,185,1385982800
21903,17,185,1385982840
21904,17,185,1385982880
21905,17,185,1385982900
21906,17,185,1385982920
21907,17,107,1385982940
21908,17,107,1385982960
21909,17,107,1385982980
21910,17,107,1385983040
21911,17,185,1385983160
22182,18,92,1385982020
22183,18,92,1385982040
22184,18,92,1385982060
22185,18,92,1385982080
22186,18,92,1385982100
22187,18,92,1385982120
22188,18,92,1385982140
22189,18,92,1385982160
22190,18,92,1385982180
22191,18,92,1385982200
22192,18,92,1385982220
22193,18,92,1385982240
22194,18,92,1385982260
22195,18,92,1385982280
22196,18,92,1385982300
22197,18,92,1385982320
22198,18,92,1385982340
22199,18,92,1385982360
22200,18,92,1385982380
22201,18,92,1385982400
22202,18,92,1385982420
22203,18,92,1385982440
22204,18,92,1385982460
22205,18,92,1385982480
22206,18,92,1385982500
22207,18,92,1385982520
22208,18,92,1385982540
22209,18,92,1385982560
22210,18,92,1385982580
22211,18,92,1385982600
22212,18,92,1385982620
22213,18,92,1385982640
22214,18,92,1385982660
22215,18,92,1385982680
22216,18,92,1385982700
22217,18,92,1385982720
22218,18,92,1385982740
22219,18,92,1385982760
22220,18,92,1385982780
22221,18,92,1385982880
22222,18,123,1385982920
22223,18,123,1385983120
22224,18,123,1385983140
22225,18,123,1385983220
22937,20,258,1385982020
22938,20,258,1385982040
22939,20,258,1385982060
22940,20,258,1385982080
22941,20,258,1385982100
22942,20,258,1385982120
22943,20,258,1385982140
22944,20,258,1385982160
22945,20,258,1385982180
22946,20,258,1385982200
22947,20,258,1385982220
22948,20,258,1385982240
22949,20,258,1385982260
22950,20,258,1385982280
22951,20,258,1385982320
22952,20,258,1385982340
22953,20,258,1385982360
22954,20,258,1385982380
22955,20,258,1385982400
22956,20,55,1385982440
22957,20,258,1385982460
22958,20,258,1385982480
22959,20,258,1385982520
22960,20,203,1385982520
22961,20,214,1385982560
22962,20,199,1385982560
22963,20,199,1385982580
22964,20,198,1385982600
22965,20,203,1385982600
22966,20,226,1385982620
22967,20,258,1385982660
22968,20,203,1385982660
22969,20,258,1385982680
22970,20,302,1385984680
22971,20,323,1385984700
22972,20,323,1385984740
22973,20,323,1385984760
22974,20,323,1385984820
22975,20,321,1385984840
22976,20,323,1385984840
22977,20,323,1385984860
22978,20,323,1385984880
22979,20,323,1385985000
22980,20,321,1385985020
22981,20,323,1385985020
22982,20,235,1385985020
22983,20,323,1385985040
22984,20,321,1385985060
22985,20,323,1385985060
22986,20,321,1385985080
22987,20,215,1385985200
22988,20,55,1385985200
22989,20,258,1385985200
22990,20,215,1385985220
22991,20,55,1385985220
22992,20,258,1385985220
22993,20,215,1385985240
22994,20,55,1385985240
22995,20,215,1385985260
22996,20,55,1385985260
22997,20,215,1385985280
22998,20,55,1385985280
22999,20,215,1385985340
23000,20,215,1385985360
23001,20,55,1385985360
23002,20,55,1385985380
23003,20,55,1385985400
23004,20,55,1385985420
23005,20,55,1385985440
23006,20,55,1385985460
23007,20,215,1385985480
23008,20,55,1385985480
23009,20,55,1385985500
23010,20,215,1385985540
23011,20,55,1385985540
24264,21,60,1385982020
24265,21,242,1385982040
24266,21,60,1385982040
24267,21,76,1385982040
24268,21,242,1385982060
24269,21,60,1385982060
24270,21,76,1385982060
24271,21,242,1385982080
24272,21,60,1385982080
24273,21,76,1385982080
24274,21,60,1385982100
24275,21,242,1385982100
24276,21,60,1385982120
24277,21,60,1385982140
24278,21,242,1385982140
24279,21,242,1385982160
24280,21,264,1385982160
24281,21,242,1385982180
24282,21,60,1385982200
24283,21,242,1385982220
24284,21,60,1385982220
24285,21,242,1385982240
24286,21,60,1385982240
24287,21,76,1385982240
24288,21,242,1385982260
24289,21,60,1385982260
24290,21,76,1385982260
24291,21,242,1385982280
24292,21,60,1385982300
24293,21,242,1385982300
24294,21,60,1385982320
24295,21,242,1385982320
24296,21,98,1385982320
24297,21,76,1385982320
24298,21,242,1385982360
24299,21,98,1385982360
24300,21,242,1385982380
24301,21,98,1385982380
24302,21,98,1385982420
24303,21,98,1385982440
24304,21,98,1385982460
24305,21,98,1385984140
24306,21,98,1385984160
24307,21,98,1385984220
24308,21,98,1385984240
24309,21,98,1385984260
24310,21,98,1385984280
24311,21,98,1385984300
24312,21,98,1385984320
24313,21,43,1385984360
24314,21,39,1385984380
24315,21,60,1385984400
24316,21,39,1385984400
24317,21,60,1385984420
24318,21,39,1385984420
24319,21,132,1385984460
24320,21,43,1385984460
24321,21,43,1385984480
24322,21,98,1385984540
24323,21,98,1385984740
24324,21,98,1385984760
24325,21,98,1385984780
24326,21,98,1385984800
24327,21,98,1385984820
24328,21,241,1385984840
24329,21,98,1385984840
24330,21,98,1385984860
24331,21,98,1385984880
24332,21,98,1385984900
24333,21,43,1385984900
24334,21,98,1385984980
24335,21,98,1385985000
24336,21,98,1385985020
24337,21,98,1385985040
24338,21,98,1385985060
24339,21,98,1385985080
24340,21,98,1385985100
24341,21,98,1385985120
24342,21,98,1385985140
24343,21,98,1385985160
24344,21,98,1385985180
24345,21,98,1385985220
24346,21,98,1385985240
24347,21,98,1385985260
24348,21,98,1385985520
24349,21,98,1385985560
24350,21,43,1385985560
24351,21,98,1385985580
24352,21,43,1385985580
24353,21,261,1385985580
24354,21,98,1385985600
24355,21,43,1385985600
24356,21,261,1385985600
24357,21,261,1385985620
26559,22,253,1385983000
26560,22,131,1385983000
26561,22,131,1385983020
28192,23,204,1385982580
28193,23,204,1385982720
28194,23,58,1385982740
28195,23,86,1385982740
28196,23,58,1385982760
28197,23,58,1385982780
28198,23,58,1385982800
28199,23,58,1385982960
28200,23,58,1385982980
28201,23,58,1385983020
28202,23,58,1385983040
28203,23,58,1385983060
28204,23,58,1385983080
28205,23,118,1385983080
28206,23,164,1385983080
28207,23,265,1385983120
28208,23,134,1385983140
28209,23,230,1385983140
28210,23,265,1385983140
28211,23,118,1385983160
28212,23,164,1385983160
28213,23,164,1385983180
28214,23,204,1385983180
28215,23,164,1385983200
28216,23,164,1385983220
28217,23,164,1385983240
28218,23,164,1385983260
28219,23,164,1385983280
28220,23,164,1385983300
28221,23,164,1385983320
28222,23,164,1385983340
28223,23,164,1385983360
28224,23,164,1385983380
28225,23,164,1385983400
28226,23,164,1385983420
28227,23,164,1385983440
28228,23,164,1385983460
28229,23,164,1385983480
28230,23,164,1385983500
28231,23,164,1385983520
28232,23,164,1385983540
28233,23,164,1385983560
28234,23,164,1385983580
28235,23,164,1385983600
28236,23,164,1385983620
28237,23,164,1385983640
28238,23,164,1385983660
28239,23,164,1385983680
28240,23,164,1385983700
28241,23,164,1385983720
28242,23,164,1385983740
28243,23,204,1385983740
28244,23,164,1385983760
28245,23,164,1385983780
28246,23,164,1385983800
28247,23,164,1385983820
28248,23,164,1385983840
28249,23,164,1385983860
28250,23,164,1385983880
28251,23,164,1385983900
28252,23,164,1385983920
28253,23,164,1385983940
28254,23,164,1385983960
28255,23,164,1385983980
28256,23,164,1385984000
28257,23,164,1385984020
28258,23,164,1385984040
28259,23,204,1385984040
28260,23,164,1385984060
28261,23,204,1385984060
28262,23,164,1385984080
28263,23,164,1385984100
28264,23,164,1385984120
28265,23,164,1385984140
28266,23,164,1385984160
28267,23,164,1385984180
28268,23,164,1385984200
28269,23,164,1385984220
28270,23,164,1385984240
28271,23,164,1385984260
28272,23,164,1385984280
28273,23,164,1385984300
28274,23,164,1385984320
28275,23,164,1385984340
28276,23,164,1385984360
28277,23,164,1385984380
28278,23,164,1385984400
28279,23,164,1385984420
28280,23,204,1385984420
28281,23,164,1385984440
28282,23,164,1385984460
28283,23,204,1385984460
28284,23,164,1385984480
28285,23,204,1385984480
28286,23,164,1385984500
28287,23,164,1385984520
28288,23,164,1385984540
28289,23,164,1385984560
28290,23,164,1385984580
28291,23,164,1385984600
28292,23,164,1385984620
28293,23,164,1385984640
28294,23,164,1385984660
28295,23,164,1385984680
28296,23,164,1385984700
28297,23,164,1385984720
28298,23,164,1385984740
28299,23,164,1385984760
28300,23,164,1385984780
28301,23,164,1385984800
28302,23,164,1385984820
28303,23,164,1385984840
28304,23,164,1385984860
28305,23,164,1385984880
28306,23,164,1385984900
28307,23,164,1385984920
28308,23,164,1385984940
28309,23,164,1385984960
28310,23,164,1385984980
28311,23,164,1385985000
28312,23,164,1385985020
28313,23,164,1385985040
28314,23,164,1385985060
28315,23,164,1385985080
28316,23,164,1385985100
28317,23,204,1385985100
28318,23,164,1385985120
28319,23,164,1385985140
28320,23,204,1385985140
28321,23,164,1385985160
28322,23,204,1385985160
28323,23,164,1385985180
28324,23,204,1385985180
28325,23,164,1385985200
28326,23,204,1385985200
28327,23,164,1385985220
28328,23,204,1385985220
28329,23,164,1385985240
28330,23,164,1385985260
28331,23,164,1385985280
28332,23,164,1385985300
28333,23,164,1385985320
28334,23,164,1385985340
28335,23,164,1385985360
28336,23,164,1385985380
28337,23,164,1385985400
28338,23,164,1385985420
28339,23,164,1385985440
28340,23,164,1385985460
28341,23,164,1385985480
28342,23,164,1385985500
28343,23,164,1385985520
28344,23,164,1385985540
28345,23,164,1385985560
28346,23,164,1385985580
28347,23,164,1385985600
28348,23,164,1385985620
28349,23,164,1385985640
29754,25,66,1385982020
29755,25,66,1385982300
29756,25,66,1385982320
29757,25,66,1385982460
29758,25,66,1385982480
29759,25,66,1385982540
29760,25,66,1385982580
29761,25,66,1385982660
29762,25,66,1385982700
29763,25,66,1385982720
29764,25,66,1385982760
29765,25,66,1385982780
29766,25,66,1385982800
29767,25,66,1385982920
29768,25,66,1385982940
29769,25,66,1385982960
29770,25,66,1385982980
29771,25,66,1385983000
29772,25,66,1385983180
29773,25,66,1385983620
29774,25,66,1385983640
29775,25,66,1385983800
29776,25,66,1385983820
29777,25,66,1385983880
29778,25,66,1385983920
29779,25,66,1385983940
29780,25,66,1385983960
29781,25,66,1385984060
29782,25,66,1385984080
29783,25,66,1385984100
29784,25,241,1385984620
29785,25,66,1385985500
29786,25,66,1385985520
29787,25,66,1385985540
31493,26,289,1385984460
31494,26,289,1385984480
33042,27,50,1385982040
33043,27,50,1385982060
33044,27,50,1385982080
33045,27,50,1385982100
33046,27,50,1385982120
33047,27,50,1385982140
33048,27,50,1385982160
33049,27,50,1385982180
33050,27,50,1385982200
33051,27,50,1385982220
33052,27,50,1385982240
33053,27,50,1385982260
33054,27,50,1385982280
33055,27,50,1385982300
33056,27,50,1385982320
33057,27,50,1385982340
33058,27,91,1385982360
33059,27,50,1385982380
33060,27,158,1385982420
33061,27,72,1385982420
33062,27,158,1385982440
33063,27,158,1385982460
33064,27,158,1385982480
34211,28,36,1385984460
34212,28,254,1385984460
34213,28,36,1385984480
34214,28,36,1385984520
34215,28,36,1385984540
34216,28,36,1385984600
34217,28,254,1385984600
34218,28,36,1385984640
34219,28,36,1385985040
34220,28,36,1385985080
34221,28,36,1385985100
34222,28,36,1385985160
34223,28,36,1385985440
34224,28,36,1385985460
34225,28,36,1385985520
34226,28,36,1385985560
34227,28,36,1385985580
35071,29,280,1385982060
35072,29,280,1385982080
35073,29,280,1385982180
35074,29,280,1385982200
35075,29,280,1385982220
35076,29,222,1385982300
35077,29,222,1385982320
35078,29,222,1385982340
35079,29,280,1385982520
35080,29,222,1385982540
35081,29,222,1385982560
35082,29,222,1385982640
35083,29,222,1385982820
35084,29,222,1385982840
35085,29,280,1385982840
35086,29,222,1385982860
35087,29,280,1385982860
35088,29,280,1385982880
35089,29,288,1385982880
35090,29,288,1385982900
35091,29,165,1385982900
35092,29,218,1385982920
35093,29,155,1385982920
35094,29,289,1385982920
35095,29,256,1385982940
35096,29,191,1385982960
35830,30,222,1385983300
35831,30,222,1385983320
35832,30,222,1385983340
35833,30,222,1385983360
35834,30,222,1385983380
35835,30,222,1385983400
35836,30,222,1385983460
35837,30,222,1385983700
35838,30,222,1385983720
35839,30,222,1385983740
35840,30,222,1385983760
35841,30,222,1385983780
